Date;Indicateurs;Français;Clients;Non-Clients
2019-01;Ponctualité;4.283434883;4.77269602;3.919230795
2019-03;Prix;5.219178082;5.568396226;4.937142857
2019-04;Prix;5.180270923;5.526220146;4.894361582
2019-05;Note globale;5.776320723;6.118627897;5.427003525
2019-05;Ponctualité;4.432425966;4.866011532;3.97163767
2019-06;Environnement;6.264230822;6.801689156;5.739846737
2019-07;Innovation;6.238972589;6.438996751;6.044868347
2019-08;Note globale;5.760769657;6.318083248;5.275278072
2019-08;Ponctualité;4.512911965;5.111099634;3.977724842
2019-08;Information Voyageurs;5.079794424;5.466687159;4.735307591
2019-09;Innovation;6.063046164;6.402845281;5.728296921
2019-11;Ponctualité;4.544971928;4.977241586;4.099009897
2019-11;Prix;5.225905354;5.465892804;4.975026765
2019-11;Environnement;6.09057385;6.376745118;5.79061414
2019-12;Information Voyageurs;4.846574528;5.209819187;4.522972237
2020-01;Innovation;5.468730472;5.954393556;5.045036334
2020-02;Note globale;5.36777182;5.85222787;4.9425176
2020-02;Ponctualité;4.33459033;4.83830355;3.8626958
2020-02;Prix;4.91220986;5.39662086;4.47062653
2020-03;Environnement;6.3786955;6.529992492;6.160281379
2020-04;Ponctualité;4.876728352;5.186880634;4.402763611
2020-05;Prix;5.184017914;5.359765121;4.902525581
2020-06;Note globale;5.68136492;6.117700083;5.245552742
2020-06;Prix;5.463791084;5.789548497;5.141286925
2020-06;Innovation;6.075542409;6.334879166;5.811866264
2020-06;Information Voyageurs;5.310851825;5.577355341;5.038867827
2020-06;Environnement;6.385100507;6.65436619;6.110835316
2020-07;Note globale;5.793768574;6.27947353;5.28118521
2020-07;Innovation;6.135860504;6.359539704;5.883409972
2020-08;Innovation;6.077356617;6.463020169;5.653056859
2020-09;Environnement;6.233699288;6.590720075;5.852405698
2020-10;Ponctualité;4.863067979;5.348795676;4.398404959
2020-11;Innovation;6.1965660444;6.32049779472;6.05386584962
2021-01;Note globale;6.07707585855;6.50509998367;5.55375809425
2021-02;Note globale;5.97520369176;6.44586786756;5.43607591018
2021-02;Innovation;6.19024670637;6.44625598371;5.86874690285
2021-02;Information Voyageurs;5.32987507624;5.73815375592;4.84428717253
2021-02;Environnement;6.54888523861;6.83138718111;6.21940332736
2021-04;Ponctualité;5.1901910266;5.71653169198;4.63754955149
2021-06;Ponctualité;4.944642424;5.44749004;4.50365844
2021-06;Innovation;6.224693437;6.396058805;6.071628439
2021-06;Information Voyageurs;5.402609767;5.853104155;5.00514165
2021-07;Information Voyageurs;5.56693592;6.268135041;5.006439391
2021-08;Note globale;6.101946937;6.621559511;5.660200861
2021-08;Prix;5.629967727;6.204929028;5.113022173
2021-11;Ponctualité;4.694008297;5.414687905;4.088904481
